federal_provider_number,facility_name,address,city,state,zip_code,county_name,phone_number,CMS Certification Number (CCN)_x,Preventable Readmission Rate,Discharge to Community Rate,Medicare Spending Per Beneficiary (MSPB),Medication Review Rate,Fall with Major Injury Rate,Self-Care at Discharge,Mobility at Discharge,Pressure Ulcer Rate,Healthcare-Associated Infection Rate,CMS Certification Number (CCN)_y,Patient Volume,latitude,longitude,geocode_source,google_place_id,google_name,google_rating,google_rating_count,recent_avg_rating,recent_review_count,recent_reviews,Distance to Bristol Regional Medical Center (mi),Distance to Dickenson Community Hospital (mi),Distance to Franklin Woods Community Hospital (mi),Distance to Greeneville Community Hospital East (mi),Distance to Hancock County Hospital (mi),Distance to Hawkins County Memorial Hospital (mi),Distance to Holston Valley Medical Center (mi),Distance to Indian Path Community Hospital (mi),Distance to Johnson City Medical Center (mi),Distance to Johnson County Community Hospital (mi),Distance to Johnston Memorial Hospital (mi),Distance to Lee County Community Hospital (mi),Distance to Lonesome Pine Hospital (mi),Distance to Norton Community Hospital (mi),Distance to Russell County Hospital (mi),Distance to Smyth County Community Hospital (mi),Distance to Sycamore Shoals Hospital (mi),Distance to Unicoi County Hospital (mi),Pressure Ulcer Rate_Percentile,Fall with Major Injury Rate_Percentile,Preventable Readmission Rate_Percentile,Medicare Spending Per Beneficiary (MSPB)_Percentile,Healthcare-Associated Infection Rate_Percentile,Discharge to Community Rate_Percentile,Medication Review Rate_Percentile,Self-Care at Discharge_Percentile,Mobility at Discharge_Percentile,Composite_Score,Overall_Rank
185166,HARLAN HEALTH AND REHABILITATION CENTER,200 MEDICAL CENTER DRIVE,HARLAN,KY,40831,HARLAN,(606)573-7250,185166,12.86,41.98,0.95,100.0,1.6,32.4,29.7,6.9,5.79,185166,787.0,36.808305499999996,-83.3134085,google_places,ChIJJ_GEbE9BW4gRjReROKNgLaE,Harlan Health and Rehabilitation Center,3.6,21,5.0,5,"5★ (3 months ago): I can’t say enough good things about this facility. Every staff member went over and above for Pammy while she was there. They met her needs and helped her make progress not only physically, but also ... | 5★ (5 months ago): This place has been a huge blessing to so many. A home near home is how I view HH&RC! I have had several relatives stay here for short or long-term care and were treated as family. 💓 | 5★ (5 months ago): They have always went out of their way for m mother and been good to her and seen to her needs daily | 5★ (8 months ago): My mother Margret Shepherd as a resident of the facility. She recently became very ill and was put on hospice. The staff of all shifts was awesome. They took care of my mom tenderly and sweetly as if ... | 5★ (9 years ago): I've had relatives in here as residents in the past, and they did an outstanding job with them! My great grandmother, and my great aunt.",64.0,54.1,63.3,52.0,19.0,29.4,45.6,45.6,63.3,87.3,90.6,9.8,29.6,38.8,73.7,99.2,72.1,68.5,90.0,68.57142857142857,92.14285714285714,16.428571428571427,12.857142857142856,71.42857142857143,29.28571428571428,88.57142857142857,84.28571428571429,61.507936507936506,58.0
185200,LETCHER MANOR,73 PIEDMONT DRIVE,WHITESBURG,KY,41858,LETCHER,(606)633-1434,185200,13.16,42.29,1.54,98.7,1.3,31.6,31.6,2.6,14.5,185200,865.0,37.1134643,-82.80939479999999,google_places,ChIJd8Wogo8sRYgRdeKDc9r4LKo,Letcher Manor,4.1,58,4.2,5,"5★ (2 months ago): Family oriented, home calming environment. | 5★ (a year ago): This place is wonderful. Great staff & clean environment!! They truly give the best care to each and everyone of their residents! | 5★ (a year ago): When I visited the staff was amazingly welcoming and my grandmother said they are very nice and helps her with anything she is very happy thank you to the staff keep up the good work | 5★ (a year ago): My Momma was treated like a queen!! She was respected, treated with dignity, had a great relationship with the workers and she loved everyone of them! | 1★ (5 years ago): I could not be more dissapointed. Our mother was neglected and tramautized by her experience with their rehabilation facilaties. There is no communication, or intentional deception between the staff a...",49.6,21.5,60.7,65.6,45.7,45.0,42.0,42.0,60.7,72.5,67.5,41.8,14.0,15.9,46.9,72.5,65.7,68.8,57.14285714285714,60.71428571428571,94.28571428571428,91.42857142857143,87.14285714285714,70.0,58.57142857142856,92.85714285714286,80.0,76.9047619047619,69.0
185433,TRI-CITIES NURSING AND REHABILITATION CENTER,19101 US HIGHWAY 119 NORTH,CUMBERLAND,KY,40823,HARLAN,(606)589-5421,185433,11.44,40.9,1.46,100.0,2.8,45.5,40.9,0.0,7.2,185433,518.0,36.96712170000001,-83.0195538,google_places,ChIJTTx01dsvW4gRUye-IvQbw5U,Tri Cities Rehabilitation and Healthcare Center,4.3,8,4.8,5,5★ (3 months ago): Clean and wonderful staff | 5★ (3 months ago): This place is wonderful for my mother the housekeeping girls always walk by her room in the morning to tell her good morning and even night every friendly staff and a every clean place 🥰 | 5★ (5 years ago): Clean and friendly,52.6,34.9,58.3,56.5,31.5,33.9,38.9,38.9,58.3,76.5,75.7,26.5,13.1,21.7,56.9,82.8,65.3,65.3,14.285714285714285,87.14285714285714,77.14285714285715,87.14285714285714,47.14285714285714,74.28571428571429,29.28571428571428,65.71428571428571,60.0,60.238095238095234,55.0
345045,THE FOLEY CENTER AT CHESTNUT RIDGE,621 CHESTNUT RIDGE PARKWAY,BLOWING ROCK,NC,28605,WATAUGA,(828)386-3300,345045,9.11,58.4,0.92,100.0,0.8,57.6,65.2,1.7,6.55,345045,1318.0,36.1472897,-81.6580804,google_places,ChIJaWtnmNL6UIgRn8_jFhE7jN4,The Foley Center at Chestnut Ridge,3.9,50,4.2,5,"5★ (6 months ago): On behalf of my family, we want to say Thank You to the staff and administration at The Foley Center.  While I understand experiences are different, we were very pleased with the care and rehab my Dad... | 5★ (7 months ago): Thank you Foley Center rehab for the incredible physical therapy that you provided. Your dedication, expertise and encouragement have made a huge difference in my recovery. I truly appreciate all your... | 5★ (8 months ago): My granny recently passed at The Foley Center. She had been there for 4+ years! The care and compassion that she received from the start til the end made the decision of leaving her in LTC after her S... | 5★ (8 months ago): My loved one had surgery at Watauga Medical and then transitioned to The Foley Center for rehabilitation. Both of us are extremely grateful for the care she received during her stay. When the time cam... | 1★ (9 months ago): !!!!Do not be fooled by Foley's attractive appearance!!!!! The grounds are beautiful but the facility ""feels cold"" even on the shiny floors once inside. Like so many nursing facilities, it is not what...",42.7,79.8,40.4,65.4,91.3,77.1,57.1,57.1,40.4,21.5,41.2,99.0,82.1,76.5,57.3,52.4,30.6,38.8,37.142857142857146,45.0,10.0,11.428571428571429,34.285714285714285,21.42857142857143,29.28571428571428,41.42857142857142,16.428571428571427,27.380952380952376,3.0
345163,GLENBRIDGE HEALTH AND REHABILTATION,211 MILTON BROWN HEIRS ROAD,BOONE,NC,28607,WATAUGA,(828)264-6720,345163,10.17,49.84,1.03,100.0,0.9,60.6,42.3,3.2,6.9,345163,1279.0,36.1877932,-81.63196789999999,google_places,ChIJE2BaE6f7UIgR3KWrNleke8k,Glenbridge Health and Rehabilitation,2.9,22,1.8,5,"1★ (a month ago): This facility was almost shut down by the state this year with major deficiencies in all aspects!! I know from past experience of working there that nurses and administrators know how to cover up ever... | 1★ (a month ago): My mother is dying in this place. No rehab..THEY will not get her out of bed to go to the bathroom, WON'T FIX HER TV CONTROL. They don't answer the phone 50% of the time. HORRIBLE PLACE. | 1★ (2 months ago): This place is nothing.  They are very rude to the residents.  Most of the CNAS are very young and have no clue what they are doing.  Housekeeping is worthless and most of the time just sits.  The plac... | 1★ (11 months ago): What a dump . Dirty, out dated , furniture looks like it was picked up off the side of the road . Let my dad fall on the first 30 minutes he was there . Impressed the nurse call button , it was 24 min... | 5★ (a year ago): Our elderly mother was admitted to this facility only a few days ago. Thus far, the entire staff has been incredibly responsive, caring, and professional. They have put her at ease and are in the proc...",41.8,78.3,41.1,66.9,91.9,77.7,57.1,57.1,41.1,19.6,38.5,99.4,81.5,75.6,55.2,49.4,31.1,40.1,67.14285714285714,47.85714285714286,31.428571428571427,26.42857142857143,44.285714285714285,51.42857142857142,29.28571428571428,31.428571428571427,55.00000000000001,42.698412698412696,22.0
345203,LIFE CARE CENTER OF BANNER ELK,185 NORWOOD HOLLOW ROAD,BANNER ELK,NC,28604,AVERY,(828)898-5136,345203,10.29,56.9,0.95,100.0,0.0,79.7,79.7,4.3,5.47,345203,936.0,36.1352591,-81.8490131,google_places,ChIJaYfotDjtUIgRbImSyQYOj2w,Life Care Center of Banner Elk,4.6,111,4.8,5,"5★ (3 weeks ago): Lifecare at Sugar Mountain is an impressively clean, quiet, friendly and active facility. Our friend has enjoyed living at Lifecare and enjoys the support he receives and the meals! Today, our friend ... | 4★ (a month ago): Not sure why immediate family of a resident needs to sign in on that computer at the door?
And no option for ""Family"" as to who I am?
Do not consider myself a ""Visitor"" when I'm visiting my mother. | 5★ (a month ago): We visited a friend in Lifecare and the staff is amazing .Our friend is getting great care. Our only suggestion is to get new beds and new TVs. The beds are very uncomfortable and squeaky and old as w... | 5★ (a month ago): The receptionist was very friendly and welcomed my special needs daughter and I with a very big smile . She offered to assist me in getting my daughter who is in a wheelchair to the person we were vis... | 5★ (a month ago): I have visited my sister at Life Care over the last 10 days or so. . It’s always clean and all the staff are friendly and helpful. But the most important things is, the care my sister has received. Sh...",36.9,75.5,30.7,54.8,81.5,67.3,48.5,48.5,30.7,20.7,43.1,89.6,74.9,70.1,55.7,55.7,21.6,28.2,78.57142857142857,20.714285714285715,34.285714285714285,16.428571428571427,7.142857142857142,24.28571428571429,29.28571428571428,9.999999999999998,9.999999999999998,25.63492063492063,2.0
345206,MADISON HEALTH AND REHABILITATION,345 MANOR ROAD,MARS HILL,NC,28754,MADISON,(828)689-5200,345206,9.72,52.78,1.31,100.0,1.0,52.8,38.9,1.0,6.59,345206,1006.0,35.836244,-82.528195,google_places,ChIJJ8Ks6TcYWogRxFmFddBAChg,Madison Health And Rehabilitation,4.4,22,4.2,5,"1★ (a month ago): I come and visit my grandpa occasionally and the care is usually decent but witnessed a dark headed Med nurse screaming and yelling in this CNAs ear and pushing her around in the halls. The nurse was ... | 5★ (4 months ago): This place is super clean and doesn't ""smell"" like a facility. Everyone is so nice and polite and dressed really well. They act and look very professional. (2nd shifters) | 5★ (7 months ago): There are not enough words to share how wonderful this facility and it's staff were for my great aunt! They were professional,  compassionate,  loving, and always went above and beyond the call of dut... | 5★ (a year ago): My youngest sister lives at Madison. I wanted to say how much our family appreciates Madison and the wonderful people who work there. Another sister and I met the Magnet driver, Alan, and the Madison ... | 5★ (2 years ago): Nursing staff and support staff were professional, helpful, and friendly during my father's nearly four-month stay at Madison.  I recommend this facility enthusiastically and without reservation.  You...",55.7,89.5,34.4,28.2,62.3,50.9,48.6,48.6,34.4,57.5,78.5,72.3,75.6,76.0,81.5,92.2,38.6,26.2,30.0,52.142857142857146,18.571428571428573,72.85714285714285,35.714285714285715,40.0,29.28571428571428,50.0,65.71428571428571,43.80952380952381,26.0
345270,THE GREENS AT SPRUCE PINES,218 LAUREL CREEK COURT,SPRUCE PINE,NC,28777,MITCHELL,(828)765-7312,345270,10.41,58.07,1.13,98.1,1.0,33.8,27.5,5.5,4.74,345270,959.0,35.9059325,-82.0881613,google_places,ChIJxXxjYFOlUIgRaDuC115gwHk,The Greens at Spruce Pine,4.4,19,4.2,5,"5★ (a month ago): I am new to this facility if I can give it more than five stars I would it’s a 10 out of 10, especially from where I’m coming from and worked at staff are amazing Caring helpful and very professional.... | 5★ (5 months ago): The facility was very clean, the nurses and CNA’s were friendly, caring, knowledgeable and, Physical Therapy was centered and focused on each patient’s needs. A GREAT place for getting your strength b... | 5★ (6 months ago): Wonderful facility. The staff is amazing. Truly care for each resident and goes above and beyond to make it a happy, fun and loving home for each of them. | 1★ (8 months ago): Be careful if you or a loved one goes here. Staff not present, they all look as if they are high on something. Your loved one will lose weight and wither away and develop bed sores. Some staff will ev... | 5★ (a year ago): My Mom is currently a patient at this facility in the rehab unit. We are so pleased with the care she is receiving. She is so happy here! The staff - admissions, PA, Nursing staff, MA- have all been a...",47.9,86.4,31.8,45.1,77.1,63.5,51.0,51.0,31.8,39.6,62.2,86.3,79.7,77.1,71.2,75.4,28.5,24.4,82.85714285714286,52.142857142857146,44.285714285714285,40.0,2.857142857142857,22.857142857142854,66.42857142857143,84.28571428571429,87.14285714285714,53.65079365079365,41.0
345296,MARGATE HEALTH AND REHAB CENTER,540 WAUGH STREET,JEFFERSON,NC,28640,ASHE,(336)246-5581,345296,10.16,52.74,1.06,98.0,1.4,67.4,63.6,2.4,6.02,345296,1752.0,36.4241899,-81.4557993,google_places,ChIJaY0810isUYgRKQLItG4wRuk,Margate Health & Rehabilitation,4.5,31,5.0,5,"5★ (a month ago): My husband received incredible physical and occupational therapy during the month that he was an inpatient at Margate and made excellent progress. They were encouraging, supportive and so knowledgeabl... | 5★ (a year ago): Margate took care of both my great aunts. During their time at Margate they received the best care anyone could ask for. From the housekeeping department who kept the rooms spotless and clean to the n... | 5★ (2 years ago): My Husband was admitted to Margate on two occasions. He enjoyed the time spent there and the Therapy he received. Everyone was very thoughtful and caring. He received wonderful care. He also enjoyed t... | 5★ (4 years ago): I have a friend who has been at Margate for three weeks.   She has recently been in a nursing facility in two other cities and both were very bad experiences.  Their food wasn’t good, they let her hai... | 5★ (8 years ago): My mom is 92 soon to be 93.  She has needed a place like Margate for the last three years because of her condition.  She is so happy and everyone treats her with kindness and respect.  She has a sweet...",42.3,72.2,50.5,78.6,98.6,84.8,61.9,61.9,50.5,19.6,25.2,104.7,81.4,73.9,45.9,32.9,40.3,52.4,54.285714285714285,65.71428571428571,30.0,32.857142857142854,21.428571428571427,41.42857142857142,68.57142857142857,17.14285714285714,18.571428571428573,38.888888888888886,15.0
345305,SMOKY RIDGE HEALTH AND REHABILITATION,310 PENSACOLA ROAD,BURNSVILLE,NC,28714,YANCEY,(828)682-9759,345305,8.98,46.14,1.28,97.3,1.4,54.1,47.5,1.1,5.86,345305,861.0,35.910573299999996,-82.2913808,google_places,ChIJe1MMmkgJWogRfz9VRiQRrFM,Smoky Ridge Health & Rehabilitation,4.0,24,4.2,5,"1★ (5 months ago): This is a horrible place to have or send anyone!! We were under the impression that this would be a wonderful place for our family member to go to. They have now been there a couple weeks, the least t... | 5★ (8 months ago): I can’t say enough good things about Smokey ridge. The administrators and nurses were exceptionally helpful with my friend suffering from stage 4 cancer. Caitlin and Sabrina both went above and beyond... | 5★ (9 months ago): Our little Mama went home to be with Jesus on December 5th 2024. She spent the last 6 months of her life in Smokey Ridge Health and Rehad. My family want you to know, we never expected the level of su... | 5★ (10 months ago): 5 stars is not enough
Endless gratitude and praise for the whole staff for their kindness and professionalism. My mother in law was treated with great dignity and kindness.
Thank you and God bless you... | 5★ (11 months ago): My grandmother came here after falling at home and breaking her ankle which required surgery to correct. The nursing team at Smoky Ridge was phenomenal! A huge thanks to the therapy department for get...",47.6,84.4,28.0,34.8,67.9,54.8,45.9,45.9,28.0,45.0,66.9,77.4,74.5,73.1,72.6,80.5,28.6,19.4,31.428571428571427,65.71428571428571,7.142857142857142,69.28571428571428,15.0,61.42857142857143,75.0,47.14285714285714,42.85714285714286,46.111111111111114,32.0
